Diet_type,Recipe_name,Cuisine_type,Protein(g),Carbs(g),Fat(g),Extraction_day,Extraction_time
Mediterranean,Roasted Red Pepper Soup,Middle Eastern,6.8,22.5,10.2,Friday,09:00
Vegetarian,Margherita Pizza,Italian,14.2,48.6,12.8,Monday,08:30
Vegetarian,Veggie Burger,American,18.4,34.2,10.5,Monday,08:30
Vegetarian,Caprese Salad,Italian,12.6,8.4,14.2,Monday,09:00
Vegetarian,Cheese Quesadilla,Mexican,16.8,32.5,18.4,Monday,09:00
Vegetarian,Eggplant Parmesan,Italian,14.5,28.6,16.2,Tuesday,08:30
Vegetarian,Spinach Lasagna,Italian,18.2,36.4,14.8,Tuesday,08:30
Vegetarian,Grilled Halloumi Salad,Mediterranean,16.4,12.8,18.6,Tuesday,09:00
Vegetarian,Paneer Tikka,Indian,20.5,14.2,16.8,Wednesday,08:30
Vegetarian,Mac and Cheese,American,14.8,42.6,18.2,Wednesday,09:00
Vegetarian,Veggie Fried Rice,Asian,10.2,48.5,8.4,Wednesday,09:00
Vegetarian,Mushroom Stroganoff,Russian,8.6,34.2,12.5,Thursday,08:30
Vegetarian,Cheese Ravioli,Italian,16.4,38.8,14.6,Thursday,09:00
Vegetarian,Potato Gnocchi,Italian,8.8,44.2,10.4,Thursday,09:00
Vegetarian,Bean and Cheese Burrito,Mexican,18.6,42.4,16.8,Friday,08:30
Vegetarian,Garden Veggie Wrap,American,10.4,28.6,8.2,Friday,09:00
